1,1299410340000,41,1,1,1
2,1332529200000,42,2,0,0
5,1413569278000,42,2,2,0
1,1294430820000,17,38,1,1
1,1297456560000,27,9,1,0
5,1423857198000,42,2,1,0
2,1347387660000,18,42,0,2
3,1359141240000,42,30,3,0
1,1301684400000,15,43,5,1
3,1379710800000,15,23,2,1
2,1332535500000,42,2,1,4
5,1427493564000,42,2,3,1
5,1428085279000,15,25,2,0
3,1360362780000,34,43,3,0
1,1426278187000,19,16,1,3
4,1408735919000,23,42,2,3
1,1304713560000,17,34,2,1
3,1362178260000,28,38,2,3
3,1367002260000,12,27,0,0
4,1399663920000,17,24,0,1
1,1288372080000,42,2,1,0
4,1383947599000,40,6,1,1
2,1323453600000,42,2,2,4
1,1304100420000,26,8,2,0
6,1457728424000,38,36,1,0
2,1329505200000,41,43,4,4
2,1347647340000,2,42,3,2
3,1359148620000,41,36,1,1
1,1298138460000,34,2,1,1
3,1362775620000,23,16,2,0
2,1338052260000,42,23,1,2
6,1443817783000,38,28,0,1
4,1382123173000,15,28,3,1
2,1336759380000,42,2,0,1
2,1316196000000,42,2,0,1
2,1335788820000,36,38,2,0
2,1330716600000,1,42,0,1
4,1389993162000,10,25,2,0
5,1429901583000,28,13,1,0
3,1367268720000,10,25,0,3
5,1419020923000,12,42,1,2
4,1389998163000,40,2,0,1
1,1302348240000,43,15,0,1
3,1367263500000,26,14,2,2
4,1383946637000,2,39,1,2
4,1388791208000,41,37,3,0
6,1443810370000,26,40,0,0
3,1367351220000,17,26,2,2
3,1364595660000,38,7,2,3
2,1325872800000,17,19,3,1
2,1334949060000,4,39,2,3
3,1362778560000,28,13,2,3
2,1335786660000,42,23,3,0
3,1359746340000,2,39,4,0
2,1340996040000,8,26,2,3
1,1295041920000,39,3,4,2
1,1298666340000,42,2,1,2
4,1409411783000,42,2,0,1
5,1437770749000,42,31,3,0
1,1297459260000,7,32,2,4
1,1293909600000,43,15,0,3
5,1420224867000,42,2,2,2
6,1448046985000,15,19,0,0
3,1371850080000,37,41,0,5
3,1367256300000,41,1,2,2
3,1359149640000,30,42,1,3
3,1368816360000,40,26,0,3
1,1301134080000,38,2,0,1
4,1398455708000,15,36,2,0
4,1391209882000,42,12,1,1
2,1336763640000,42,2,3,2
5,1414787231000,42,2,2,1
3,1361560620000,42,2,0,0
4,1411149889000,42,23,2,0
4,1403893945000,15,40,3,1
2,1319219100000,15,40,1,0
2,1344626160000,25,10,2,0
